J_q,actual_E_NUC,actual_E_miss,actual_E_rep,collision_scope,failure_reason,family,family_index,geometry_projection_max_m,ik_calls,intended_E_NUC,intended_E_miss,intended_E_rep,max_axis_error_degrees,max_position_error_m,min_joint_margin,min_sigma_min_5,missing_legal_reconfiguration,on_segments,placement_level,reference_found,runtime_s,scene_id,surface_id,witness_file
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_v_phase_0.00,2,4.163336342344337e-17,0,1.251613859383955,0.01627435114085202,1.235339508243103,,,,,False,1,P_high,False,10.104203641414642,T33,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,spiral_phase_0.00,3,4.163336342344337e-17,0,0.6764536150911329,0.14756320960432384,0.528890405486809,,,,,False,1,P_high,False,7.184840865433216,T33,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00,0,0.0,0,0.6280027358606627,0.11665081392447636,0.5113519219361863,,,,,False,1,P_high,False,2.2127590775489807,T10,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_v_phase_0.00,1,0.0,0,0.611829553126421,0.15123934834109695,0.46059020478532403,,,,,False,1,P_high,False,2.180403985083103,T10,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,spiral_phase_0.00,2,0.0,0,0.61639977184341,0.14495092628343478,0.47144884555997524,,,,,False,1,P_high,False,2.194004848599434,T10,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00_k2,3,0.0,0,0.6288805986288153,0.11752867669262904,0.5113519219361863,,,,,True,2,P_high,False,2.4462209418416023,T10,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00,0,0.0,0,0.6280027358606627,0.11665081392447636,0.5113519219361863,,,,,False,1,P_low,False,2.1718169897794724,T17,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_v_phase_0.00,1,0.0,0,0.611829553126421,0.15123934834109695,0.46059020478532403,,,,,False,1,P_low,False,2.180965580046177,T17,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,spiral_phase_0.00,2,0.0,0,0.61639977184341,0.14495092628343478,0.47144884555997524,,,,,False,1,P_low,False,2.198841907083988,T17,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00_k2,3,0.0,0,0.6288805986288153,0.11752867669262904,0.5113519219361863,,,,,True,2,P_low,False,2.44987665861845,T17,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00,0,0.0,0,0.6280027358606627,0.11665081392447636,0.5113519219361863,,,,,False,1,P_mid,False,2.188947096467018,T21,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_v_phase_0.00,1,0.0,0,0.611829553126421,0.15123934834109695,0.46059020478532403,,,,,False,1,P_mid,False,2.195718728005886,T21,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,spiral_phase_0.00,2,0.0,0,0.61639977184341,0.14495092628343478,0.47144884555997524,,,,,False,1,P_mid,False,2.191620208323002,T21,saddle,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00_k2,3,0.0,0,0.6288805986288153,0.11752867669262904,0.5113519219361863,,,,,True,2,P_mid,False,2.438632644712925,T21,saddle,
