dx,dy,dz,method,sample,window_id,x,y,z
,,,M1,5,saddle_P_high_W03,-0.05166666666666668,-0.08583333333333334,-0.006850000000000004
,,,M1,6,saddle_P_high_W03,-0.0533333333333334,-0.08666666666666671,-0.006800000000000002
,,,M1,7,saddle_P_high_W03,-0.05500000000000006,-0.08750000000000004,-0.006750000000000001
,,,M1,8,saddle_P_high_W03,-0.0566666666666667,-0.08833333333333335,-0.006699999999999995
,,,M1,9,saddle_P_high_W03,-0.05509852884893169,-0.08750414951305288,-0.006733509661108162
,,,M1,10,saddle_P_high_W03,-0.053530403864602644,-0.08667500011129618,-0.0067670273377603805
,,,M1,11,saddle_P_high_W03,-0.05196228633670492,-0.08584588615561965,-0.006800554306079012
,,,M1,12,saddle_P_high_W03,-0.05039417085059857,-0.08501681011214013,-0.006834092280534299
,,,M1,13,saddle_P_high_W03,-0.04882605210737373,-0.08418777607635586,-0.006867643443579486
,,,M1,14,saddle_P_high_W03,-0.047159372229656986,-0.08335447681481227,-0.006917656043105425
,,,M1,15,saddle_P_high_W03,-0.04549270131927326,-0.08252117791838337,-0.006967667138045828
,,,M1,16,saddle_P_high_W03,-0.04382603937643218,-0.08168787938678504,-0.00701767672827772
,,,M1,17,saddle_P_high_W03,-0.042159386400834255,-0.08085458121971666,-0.007067684813764832
,,,M1,18,saddle_P_high_W03,-0.040362915920343134,-0.08001573553639524,-0.007139395795256808
,,,M1,19,saddle_P_high_W03,-0.041432226618823266,-0.07881880302029291,-0.006729583752264535
,,,M1,20,saddle_P_high_W03,-0.042501827058217034,-0.07762370836288952,-0.006321938634841048
,,,M1,21,saddle_P_high_W03,-0.04357142857142864,-0.07642857142857144,-0.0059142857142857035
,,,M1,22,saddle_P_high_W03,-0.04476190476190477,-0.07523809523809526,-0.005485714285714287
,,,M1,23,saddle_P_high_W03,-0.04595238095238101,-0.07404761904761906,-0.005057142857142849
,,,M1,24,saddle_P_high_W03,-0.04714285714285711,-0.07285714285714291,-0.004628571428571444
,,,M1,25,saddle_P_high_W03,-0.04833333333333335,-0.07166666666666671,-0.004200000000000004
,,,M1,26,saddle_P_high_W03,-0.04714285714285712,-0.07285714285714291,-0.004628571428571441
,,,M2,0,saddle_P_high_W03,-0.0433333333333333,-0.08166666666666667,-0.007100000000000008
,,,M2,1,saddle_P_high_W03,-0.04500000000000001,-0.08250000000000003,-0.007050000000000008
,,,M2,2,saddle_P_high_W03,-0.04666666666666672,-0.08333333333333338,-0.007000000000000006
,,,M2,3,saddle_P_high_W03,-0.04833333333333332,-0.08416666666666668,-0.006950000000000008
,,,M2,4,saddle_P_high_W03,-0.05000000000000003,-0.085,-0.0069
,,,M2,5,saddle_P_high_W03,-0.05166854564233138,-0.08607287460360323,-0.006921524165461323
,,,M2,6,saddle_P_high_W03,-0.05333707068320242,-0.0871457499199914,-0.006943052253020984
,,,M2,7,saddle_P_high_W03,-0.05500558339428685,-0.08821862534883793,-0.0069645825936797455
,,,M2,8,saddle_P_high_W03,-0.05667409205439651,-0.08929150029024446,-0.006986113517281969
,,,M2,9,saddle_P_high_W03,-0.05500595508371752,-0.08826653363858235,-0.006978888176505553
,,,M2,10,saddle_P_high_W03,-0.05333781714566016,-0.08724156652869965,-0.006971662872391066
,,,M2,11,saddle_P_high_W03,-0.051669671817258206,-0.0862165993150909,-0.006964438867420797
,,,M2,12,saddle_P_high_W03,-0.05000151268190163,-0.08519163253122149,-0.006957217476624154
,,,M2,13,saddle_P_high_W03,-0.04833333333333332,-0.08416666666666668,-0.006950000000000008
,,,M2,14,saddle_P_high_W03,-0.04691300530835872,-0.0833438057762621,-0.006958800777374061
,,,M2,15,saddle_P_high_W03,-0.04549270034568413,-0.0825210360285352,-0.006967624746337416
,,,M2,16,saddle_P_high_W03,-0.0440724050126057,-0.0816983632824499,-0.006976476082465946
,,,M2,17,saddle_P_high_W03,-0.042652105891280954,-0.08087579338403603,-0.00698535895478024
,,,M2,18,saddle_P_high_W03,-0.040725831724220375,-0.08003145333123732,-0.007078786289011528
,,,M2,19,saddle_P_high_W03,-0.04167397698654313,-0.07882809099463885,-0.006687740521457227
,,,M2,20,saddle_P_high_W03,-0.04262270173545688,-0.07762836911237868,-0.006301020127845923
,,,M2,21,saddle_P_high_W03,-0.04357142857142864,-0.07642857142857144,-0.0059142857142857035
,,,M2,22,saddle_P_high_W03,-0.04476190476190477,-0.07523809523809526,-0.005485714285714287
,,,M2,23,saddle_P_high_W03,-0.04595238095238101,-0.07404761904761906,-0.005057142857142849
,,,M2,24,saddle_P_high_W03,-0.04714285714285711,-0.07285714285714291,-0.004628571428571444
,,,M2,25,saddle_P_high_W03,-0.04833333333333335,-0.07166666666666671,-0.004200000000000004
,,,M2,26,saddle_P_high_W03,-0.04714285714285712,-0.07285714285714291,-0.004628571428571441
0.001824421537987132,0.0035062216590727568,0.0006147322418563689,cheap_eigenvector,0,saddle_P_high_W03,-0.0433333333333333,-0.08166666666666667,-0.007100000000000008
0.003524774858970355,-0.001682849088666338,-0.0008625434124410182,expensive_eigenvector,0,saddle_P_high_W03,-0.0433333333333333,-0.08166666666666667,-0.007100000000000008
0.001782438954623425,0.00352969461167593,0.0006034627754442377,cheap_eigenvector,6,saddle_P_high_W03,-0.0533333333333334,-0.0866666666666667,-0.006799999999999999
0.003530476045862013,-0.0016194663932420181,-0.0009555456507955121,expensive_eigenvector,6,saddle_P_high_W03,-0.0533333333333334,-0.0866666666666667,-0.006799999999999999
0.0018032437985236614,0.003518177070571424,0.0006088857882981284,cheap_eigenvector,13,saddle_P_high_W03,-0.04833333333333332,-0.08416666666666668,-0.0069500000000000065
0.0035281450819107155,-0.0016510336940729867,-0.000908999462059767,expensive_eigenvector,13,saddle_P_high_W03,-0.04833333333333332,-0.08416666666666668,-0.0069500000000000065
0.0014904930776848103,0.003649397770402466,0.0006784735063030667,cheap_eigenvector,19,saddle_P_high_W03,-0.04119047619047619,-0.07880952380952379,-0.006771428571428567
0.0036811128300717096,-0.0013592001532323349,-0.0007758758120567067,expensive_eigenvector,19,saddle_P_high_W03,-0.04119047619047619,-0.07880952380952379,-0.006771428571428567
0.0014503773029958746,0.0036794946017994763,0.000598101290989183,cheap_eigenvector,26,saddle_P_high_W03,-0.04714285714285712,-0.07285714285714291,-0.004628571428571441
0.003687599864484149,-0.0013221708548474445,-0.0008083758222809923,expensive_eigenvector,26,saddle_P_high_W03,-0.04714285714285712,-0.07285714285714291,-0.004628571428571441
,,,M0,0,hemisphere_P_high_W01,-0.02958333333333335,0.13064565144918794,0.009012995669269303
,,,M0,1,hemisphere_P_high_W01,-0.03145833333333331,0.1301432467133796,0.009012995669269296
,,,M0,2,hemisphere_P_high_W01,-0.03333333333333325,0.12964084197757125,0.009012995669269285
,,,M0,3,hemisphere_P_high_W01,-0.03520833333333329,0.12913843724176288,0.009012995669269282
,,,M0,4,hemisphere_P_high_W01,-0.03708333333333321,0.12863603250595454,0.00901299566926933
,,,M0,5,hemisphere_P_high_W01,-0.0389583333333333,0.12813362777014617,0.00901299566926933
,,,M0,6,hemisphere_P_high_W01,-0.04083333333333327,0.12763122303433783,0.009012995669269323
,,,M0,7,hemisphere_P_high_W01,-0.03919270833333331,0.1279102313722636,0.010026957682062115
,,,M0,8,hemisphere_P_high_W01,-0.03755208333333332,0.1281892397101894,0.011040919694854864
,,,M0,9,hemisphere_P_high_W01,-0.03591145833333336,0.12846824804811516,0.01205488170764766
,,,M0,10,hemisphere_P_high_W01,-0.03427083333333335,0.12874725638604095,0.013068843720440468
,,,M0,11,hemisphere_P_high_W01,-0.03263020833333332,0.12902626472396675,0.014082805733233273
,,,M0,12,hemisphere_P_high_W01,-0.030989583333333248,0.12930527306189254,0.015096767746026078
,,,M0,13,hemisphere_P_high_W01,-0.02934895833333329,0.1295842813998183,0.016110729758818877
,,,M0,14,hemisphere_P_high_W01,-0.027708333333333265,0.1298632897377441,0.01712469177161168
,,,M0,15,hemisphere_P_high_W01,-0.026067708333333307,0.13014229807566985,0.018138653784404487
,,,M0,16,hemisphere_P_high_W01,-0.02442708333333332,0.13042130641359562,0.019152615797197292
,,,M0,17,hemisphere_P_high_W01,-0.022786458333333367,0.13070031475152144,0.02016657780999003
,,,M0,18,hemisphere_P_high_W01,-0.021145833333333287,0.1309793230894472,0.02118053982278289
,,,M0,19,hemisphere_P_high_W01,-0.019505208333333385,0.13125833142737298,0.022194501835575694
,,,M0,20,hemisphere_P_high_W01,-0.01786458333333324,0.1315373397652988,0.0232084638483685
,,,M0,21,hemisphere_P_high_W01,-0.016223958333333288,0.13181634810322457,0.024222425861161235
,,,M0,22,hemisphere_P_high_W01,-0.014583333333333288,0.13209535644115034,0.025236387873954106
,,,M0,23,hemisphere_P_high_W01,-0.013368055555555506,0.13218306942783128,0.026738553818832313
,,,M0,24,hemisphere_P_high_W01,-0.012152777777777771,0.1322707824145122,0.028240719763710474
,,,M1,0,hemisphere_P_high_W01,-0.02958333333333335,0.13064565144918794,0.009012995669269303
,,,M1,1,hemisphere_P_high_W01,-0.03145833333333332,0.1301432467133796,0.009012995669269285
,,,M1,2,hemisphere_P_high_W01,-0.03333333333333326,0.12964084197757125,0.009012995669269285
,,,M1,3,hemisphere_P_high_W01,-0.0352083333333333,0.12913843724176288,0.009012995669269285
,,,M1,4,hemisphere_P_high_W01,-0.03708333333333321,0.12863603250595454,0.00901299566926933
,,,M1,5,hemisphere_P_high_W01,-0.03882592811361988,0.1280931737989408,0.00949241045739906
,,,M1,6,hemisphere_P_high_W01,-0.04056861089137276,0.1275502938303161,0.009971810615057336
,,,M1,7,hemisphere_P_high_W01,-0.038795115908261825,0.12778866315720183,0.011467141981788765
,,,M1,8,hemisphere_P_high_W01,-0.037021863201327936,0.12802696082137063,0.012962515934843443
,,,M1,9,hemisphere_P_high_W01,-0.03599750020059291,0.12822125948689025,0.013468743523357675
,,,M1,10,hemisphere_P_high_W01,-0.034971652747570046,0.128415874419033,0.013975485626861066
,,,M1,11,hemisphere_P_high_W01,-0.03394637023752792,0.1286098973938977,0.014485009450978203
,,,M1,12,hemisphere_P_high_W01,-0.03292289643480803,0.1288034617396267,0.0149943690384409
,,,M1,13,hemisphere_P_high_W01,-0.03104043340957542,0.12914513286608065,0.016021826790004922
,,,M1,14,hemisphere_P_high_W01,-0.02915803966660798,0.1294868319158661,0.017048991031307432
,,,M1,15,hemisphere_P_high_W01,-0.027275787324885253,0.12982854838652397,0.018075806063927304
,,,M1,16,hemisphere_P_high_W01,-0.025393748464561477,0.13017027174222534,0.01910221646581575
,,,M1,17,hemisphere_P_high_W01,-0.023511427235876296,0.13051195054823933,0.020129385844163794
,,,M1,18,hemisphere_P_high_W01,-0.021629078203788163,0.13085369516060236,0.021156186774389393
,,,M1,19,hemisphere_P_high_W01,-0.019746773124826842,0.13119549506169023,0.02218256426699982
,,,M1,20,hemisphere_P_high_W01,-0.01786458333333324,0.1315373397652988,0.0232084638483685
,,,M1,21,hemisphere_P_high_W01,-0.016223958333333288,0.13181634810322457,0.024222425861161235
,,,M1,22,hemisphere_P_high_W01,-0.014583333333333299,0.13209535644115034,0.0252363878739541
,,,M1,23,hemisphere_P_high_W01,-0.013368055555555501,0.13218306942783128,0.026738553818832306
,,,M1,24,hemisphere_P_high_W01,-0.012152777777777771,0.1322707824145122,0.028240719763710474
,,,M2,0,hemisphere_P_high_W01,-0.02958333333333335,0.13064565144918794,0.009012995669269303
,,,M2,1,hemisphere_P_high_W01,-0.03145833333333332,0.1301432467133796,0.009012995669269285
,,,M2,2,hemisphere_P_high_W01,-0.03333333333333326,0.12964084197757125,0.009012995669269285
,,,M2,3,hemisphere_P_high_W01,-0.0352083333333333,0.12913843724176288,0.009012995669269285
,,,M2,4,hemisphere_P_high_W01,-0.03708333333333321,0.12863603250595454,0.00901299566926933
,,,M2,5,hemisphere_P_high_W01,-0.038721356348304245,0.12821640048670857,0.00889129858362377
,,,M2,6,hemisphere_P_high_W01,-0.040359294937696855,0.12779674682937656,0.008769880943683209
,,,M2,7,hemisphere_P_high_W01,-0.038480797240147066,0.12815886525486803,0.009661531128899309
,,,M2,8,hemisphere_P_high_W01,-0.036602463838929344,0.12852098496587197,0.010552895246987382
,,,M2,9,hemisphere_P_high_W01,-0.03483725297457649,0.12881103757798712,0.011707896414299122
,,,M2,10,hemisphere_P_high_W01,-0.033071663647092624,0.1291012087927594,0.012862789024439391
,,,M2,11,hemisphere_P_high_W01,-0.03130574519078717,0.12939147044140334,0.014017667466081254
,,,M2,12,hemisphere_P_high_W01,-0.029539588304406013,0.12968178513821788,0.015172614342321953
,,,M2,13,hemisphere_P_high_W01,-0.028019955474988836,0.12992943548453095,0.016179872648720065
,,,M2,14,hemisphere_P_high_W01,-0.02650023968416132,0.13017708410163054,0.017187282224121005
,,,M2,15,hemisphere_P_high_W01,-0.024980404634496817,0.130424738853586,0.018194854823447463
,,,M2,16,hemisphere_P_high_W01,-0.023460414297953938,0.13067240340005182,0.01920262829151599
,,,M2,17,hemisphere_P_high_W01,-0.022061487535794753,0.13088871158270454,0.02020356697724341
,,,M2,18,hemisphere_P_high_W01,-0.02066258785535296,0.1311049624642317,0.021204821632147958
,,,M2,19,hemisphere_P_high_W01,-0.019263643536132226,0.13132116792382026,0.02220643858819285
,,,M2,20,hemisphere_P_high_W01,-0.01786458333333324,0.1315373397652988,0.0232084638483685
,,,M2,21,hemisphere_P_high_W01,-0.016223958333333288,0.13181634810322457,0.024222425861161235
,,,M2,22,hemisphere_P_high_W01,-0.014583333333333299,0.13209535644115034,0.0252363878739541
,,,M2,23,hemisphere_P_high_W01,-0.013368055555555501,0.13218306942783128,0.026738553818832306
,,,M2,24,hemisphere_P_high_W01,-0.012152777777777771,0.1322707824145122,0.028240719763710474
-0.0016678245172420342,0.0004536697833768293,-0.0036072905493371617,cheap_eigenvector,0,hemisphere_P_high_W01,-0.02958333333333335,0.13064565144918794,0.009012995669269303
0.003583944774364198,0.0008724582441466605,-0.0015473061967587697,expensive_eigenvector,0,hemisphere_P_high_W01,-0.02958333333333335,0.13064565144918794,0.009012995669269303
-0.001599808736688739,0.00034040683477465085,-0.0036503061779600203,cheap_eigenvector,6,hemisphere_P_high_W01,-0.04083333333333327,0.12763122303433783,0.009012995669269323
0.003542725139497473,0.0011682389117753007,-0.0014437161878245591,expensive_eigenvector,6,hemisphere_P_high_W01,-0.04083333333333327,0.12763122303433783,0.009012995669269323
-0.0016829314775881593,0.0004890752655085905,-0.003595628877736221,cheap_eigenvector,12,hemisphere_P_high_W01,-0.030989583333333248,0.12930527306189254,0.015096767746026078
0.003558950838001022,0.0009960434187671079,-0.0015302831243343693,expensive_eigenvector,12,hemisphere_P_high_W01,-0.030989583333333248,0.12930527306189254,0.015096767746026078
-0.0017694463552219123,0.0006397191309272571,-0.003529846884712928,cheap_eigenvector,18,hemisphere_P_high_W01,-0.021145833333333287,0.1309793230894472,0.02118053982278289
0.0035562280340696076,0.00083009965167882,-0.0016322306019616567,expensive_eigenvector,18,hemisphere_P_high_W01,-0.021145833333333287,0.1309793230894472,0.02118053982278289
-0.0018564597336105067,0.000789959836866674,-0.0034539138254479343,cheap_eigenvector,24,hemisphere_P_high_W01,-0.012152777777777771,0.1322707824145122,0.028240719763710474
0.003532816366527372,0.0007095811565284326,-0.0017365779863559574,expensive_eigenvector,24,hemisphere_P_high_W01,-0.012152777777777771,0.1322707824145122,0.028240719763710474
